date,time,temperature,humidity,light,rainfall_5min,rainfall_1hour,wind_speed,wind_direction,atmospheric_pressure
2024/09/01,00:04,22.2,90,,0,,0,northwest,972
2024/09/01,00:09,22.1,90,,0,,0,northwest,972
2024/09/01,00:14,22.1,90,,0,,0,northwest,972
2024/09/01,00:19,22,90,,0,,0,northwest,972
2024/09/01,00:24,21.9,90,,0,,0,northwest,972
2024/09/01,00:29,21.8,90,,0,,0,northwest,972
2024/09/01,00:34,21.7,90,,0,,0,northwest,972
2024/09/01,00:39,21.7,90,,0,,0,northwest,972
2024/09/01,00:44,21.6,90,,0,,0,northwest,972
2024/09/01,00:49,21.5,90,,0,,0,west,972
2024/09/01,00:54,21.5,90,,0,,0,west,973
2024/09/01,00:59,21.5,90,,0,,0,west,972
2024/09/01,01:04,21.6,90,,0,0,0,west,973
2024/09/01,01:09,21.6,90,,0,,0,west,973
2024/09/01,01:14,21.6,90,,0,,0,west,973
2024/09/01,01:19,21.8,90,,0,,0,west,973
2024/09/01,01:24,21.9,90,,0,,0,west,973
2024/09/01,01:29,21.8,90,,0,,0,west,973
2024/09/01,01:34,21.7,90,,0,,0,west,973
2024/09/01,01:39,21.7,90,,0,,0,west,973
2024/09/01,01:44,21.7,90,,0,,0,west,973
2024/09/01,01:49,21.8,90,,0,,0,west,973
2024/09/01,01:54,21.9,90,,0,,0,west,973
2024/09/01,01:59,21.9,90,,0,,0,west,973
2024/09/01,02:04,22,90,,0,0,0,west,973
2024/09/01,02:09,21.9,90,,0,,0,west,973
2024/09/01,02:14,21.9,90,,0,,0,west,973
2024/09/01,02:19,21.9,90,,0,,0,west,973
2024/09/01,02:24,22,90,,0,,0,west,973
2024/09/01,02:29,22.1,90,,0,,0,west,973
2024/09/01,02:34,22.1,90,,0,,0,west,973
2024/09/01,02:39,22.2,90,,0,,0,west,973
2024/09/01,02:44,22.1,90,,0,,0,west,973
2024/09/01,02:49,22.1,90,,0,,0,west,973
2024/09/01,02:54,22.2,90,,0,,0,west,973
2024/09/01,02:59,22,90,,0,,0,west,973
2024/09/01,03:04,21.9,90,,0,0,0,west,973
2024/09/01,03:09,21.9,90,,0,,0,west,973
2024/09/01,03:14,21.7,90,,0,,0,west,973
2024/09/01,03:19,21.6,90,,0,,0,west,973
2024/09/01,03:24,21.5,90,,0,,0,west,973
2024/09/01,03:29,21.4,90,,0,,0,west,973
2024/09/01,03:34,21.3,90,,0,,0,west,973
2024/09/01,03:39,21.4,90,,0,,0,west,973
2024/09/01,03:44,21.4,90,,0,,0,west,973
2024/09/01,03:49,21.6,90,,0,,0,west,973
2024/09/01,03:54,21.7,90,,0,,0,west,973
2024/09/01,03:59,21.4,90,,0,,0,west,973
2024/09/01,04:04,21.6,90,,0,0,0,west,973
2024/09/01,04:09,21.5,90,,0,,0,west,973
2024/09/01,04:14,21.7,90,,0,,0,west,973
2024/09/01,04:19,21.6,90,,0,,0,west,973
2024/09/01,04:24,21.6,90,,0,,0,west,973
2024/09/01,04:29,21.7,90,,0,,0,west,973
2024/09/01,04:34,21.6,90,,0,,0,west,973
2024/09/01,04:39,21.6,90,0,0,,0,west,973
2024/09/01,04:44,21.5,90,0,0,,0,west,973
2024/09/01,04:49,21.4,90,0,0,,0,west,973
2024/09/01,04:54,21.3,90,0,0,,0,west,973
2024/09/01,04:58,21.2,90,0,0,,0,west,973
2024/09/01,05:04,21.1,90,0,0,0,0,west,973
2024/09/01,05:09,21,90,0,0,,0,west,973
2024/09/01,05:14,21,90,0,0,,0,west,973
2024/09/01,05:19,20.9,90,130,0,,0,west,973
2024/09/01,05:24,20.8,90,130,0,,0,west,973
2024/09/01,05:28,20.8,90,261,0,,0,west,973
2024/09/01,05:33,20.9,90,523,0,,0,west,973
2024/09/01,05:38,21.1,90,523,0,,0,west,973
2024/09/01,05:43,21.1,90,653,0,,0,west,973
2024/09/01,05:48,20.8,90,653,0,,0,west,973
2024/09/01,05:54,20.8,90,784,0,,0,west,973
2024/09/01,05:58,21,90,784,0,,0,west,973
2024/09/01,06:03,20.9,90,784,0,0,0,west,973
2024/09/01,06:08,21.1,90,914,0,,0,west,973
2024/09/01,06:13,20.9,90,1045,0,,0,west,973
2024/09/01,06:18,21,90,1045,0,,0,west,973
2024/09/01,06:23,21.2,90,1176,0,,0,west,973
2024/09/01,06:28,21.3,90,1045,0,,0,west,973
2024/09/01,06:33,21.4,90,1176,0,,0,west,973
2024/09/01,06:38,21.4,90,1307,0,,0,west,973
2024/09/01,06:43,21.9,90,5357,0,,0,west,973
2024/09/01,06:48,22.8,90,8102,0,,0,west,973
2024/09/01,06:53,23.8,90,8886,0,,0,west,973
2024/09/01,06:58,24.8,90,4051,0,,0,west,973
2024/09/01,07:03,25.6,90,3659,0,0,0,west,973
2024/09/01,07:08,26.5,90,3528,0,,0,west,973
2024/09/01,07:13,27,90,3267,0,,0,west,973
2024/09/01,07:18,27.8,90,2875,0,,0,west,973
2024/09/01,07:23,27.3,90,4443,0,,0,west,973
2024/09/01,07:28,26.4,90,3267,0,,0,southwest,973
2024/09/01,07:33,26.5,90,4704,0,,0,southwest,974
2024/09/01,07:38,27.8,90,5881,0,,0,southwest,974
2024/09/01,07:43,25.9,90,4704,0,,0,north,974
2024/09/01,07:48,26.4,90,40772,0,,0,north,974
2024/09/01,07:53,26.1,90,47567,0,,0,north,974
2024/09/01,07:58,26.4,90,47175,0,,0,north,974
2024/09/01,08:03,27.4,90,10585,0,0,0,north,974
2024/09/01,08:08,27,90,53579,0,,0,north,974
2024/09/01,08:13,27.3,90,50834,0,,0,north,974
2024/09/01,08:18,27.6,90,57891,0,,0,east,974
2024/09/01,08:23,27.5,90,58936,0,,0,northwest,974
2024/09/01,08:28,27.3,90,63902,0,,0,northwest,974
2024/09/01,08:33,28.7,90,64687,0,,0,northwest,974
2024/09/01,08:38,27,90,69521,0,,0,northwest,974
2024/09/01,08:43,28.2,90,74357,0,,0,north,974
2024/09/01,08:48,27.8,90,75402,0,,0,north,974
2024/09/01,08:53,27.4,90,12153,0,,0,north,974
2024/09/01,08:58,27.4,90,58544,0,,0,north,974
2024/09/01,09:03,28.1,90,6926,0,0,0,north,974
2024/09/01,09:08,28.6,90,6534,0,,0,north,974
2024/09/01,09:13,27.9,90,81805,0,,0,east,974
2024/09/01,09:18,28.4,90,84158,0,,0,east,974
2024/09/01,09:18,28.4,90,84158,0,,0,east,974
2024/09/01,09:23,28.3,90,7710,0,,0,west,974
2024/09/01,09:28,29.3,90,8233,0,,0,west,974
2024/09/01,09:33,28.1,90,16204,0,,0,southwest,974
2024/09/01,09:38,28.8,90,16727,0,,0,west,973
2024/09/01,09:43,30.1,90,88732,0,,0,west,974
2024/09/01,09:43,30.1,90,88732,0,,0,west,974
2024/09/01,09:48,28.5,90,74488,0,,0,southwest,974
2024/09/01,09:53,28.8,89.2,84289,0,,0,west,973
2024/09/01,09:58,28.6,90,15551,0,,0,southwest,973
2024/09/01,10:03,29.3,89.4,17249,0,0,0,west,973
2024/09/01,10:08,29.1,90,12153,0,,0,southwest,973
2024/09/01,10:13,28.6,89.3,13329,0,,0,southwest,973
2024/09/01,10:18,29.5,87.7,13068,0,,0,southwest,973
2024/09/01,10:23,29.1,86.6,14636,0,,0,southeast,973
2024/09/01,10:28,30.4,84.2,20255,0,,0,east,973
2024/09/01,10:33,30.1,83.4,20909,0,,0,northwest,973
2024/09/01,10:38,29.9,86.3,29795,0,,0,north,973
2024/09/01,10:43,30.7,82.6,87556,0,,0,east,973
2024/09/01,10:48,29.6,84.6,19994,0,,0,west,973
2024/09/01,10:53,29.4,90,16596,0,,0,west,973
2024/09/01,10:58,29.3,90,15682,0,,0,west,973
2024/09/01,11:03,30.1,84.8,38681,0,0,0,west,973
2024/09/01,11:08,30.1,85.2,10977,0,,0,west,973
2024/09/01,11:08,30.1,85.2,10977,0,,0,west,973
2024/09/01,11:13,31.3,80.7,12806,0,,0,west,973
2024/09/01,11:18,30.9,88.4,14897,0,,0,west,973
2024/09/01,11:23,31,79.7,15028,0,,0,southwest,973
2024/09/01,11:28,31.3,78.9,18556,0,,0,southwest,973
2024/09/01,11:33,30.1,84.2,24568,0,,0,west,973
2024/09/01,11:38,31.4,90,20516,0,,0,west,973
2024/09/01,11:43,30.6,85.7,14636,0,,0,west,973
2024/09/01,11:48,32.1,79.1,11630,0,,0,southwest,973
2024/09/01,11:53,31.8,78.5,9017,0,,0,southwest,973
2024/09/01,11:58,32.2,76.2,8886,0,,0,south,973
2024/09/01,12:03,31.4,79.9,10193,0,0,0,north,972
